blocker_id,current_repo_status,corrected_status,source_or_acquisition,exact_path_or_full_citation,line_or_page_range,scope_tag,runtime_claim_allowed,remaining_action,parent_blocker_id,child_source_id,accepted_runtime_claim,can_support_first_principles_acceptance,last_verified_commit
STARTUP-BVP-CH05,candidate_or_blocked,external_acquisition_required,secondary emission for Cu alumina pyrex stainless,Hagstrum 1956 Phys Rev 104:317;Vaughan formula;CRC Handbook electron emission,full source,external_candidate,false,acquire surface secondary emission sources,STARTUP-BVP-CH05,secondary_emission_surfaces,false,false,8e6b5e9
STARTUP-BVP-CH06,candidate_or_blocked,external_acquisition_required,photoemission source needed,Yordanov et al 2003 Vacuum 76:365,full source,external_candidate,false,acquire photoemission source and keep Bennett bound separate,STARTUP-BVP-CH06,photoemission,false,false,8e6b5e9
STARTUP-BVP-CH07,target_extracted_kr_backed,source_backed_runtime_candidate,Bennett E field thresholds ingested as canonical KR markdown and target extracted plus UCSD Beg Te method context,KnowledgeReference/bennett-2017-kinetic-dpf-breakdown.md;KnowledgeReference/effect-of-current-sheath-initiation-on-the-radial-collapse-and-energetic-particle-accelera-b2e95b88.md,section III p062705-3 and p062705-5;642-660,pf1000_generic,false,run numerical-fidelity and same-scope startup gates for the Bennett startup candidate; UCSD Beg Te stays wrong-scope context; whole-shot startup remains blocked until every required startup channel is source-backed or explicitly excluded,STARTUP-BVP-CH07,bennett_2017_startup,false,false,bd5be3a
STARTUP-BVP-CH08,target_extracted_kr_backed,source_backed_runtime_candidate,Bennett initial E and J distributions with current fraction at 1 us ingested as canonical KR markdown and target extracted,KnowledgeReference/bennett-2017-kinetic-dpf-breakdown.md,section III p062705-3,pf1000_generic,false,run numerical-fidelity and same-scope startup gates for the Bennett startup candidate; whole-shot startup remains blocked until every required startup channel is source-backed or explicitly excluded,STARTUP-BVP-CH08,bennett_2017_startup,false,false,bd5be3a
STARTUP-BVP-CH09,candidate_or_blocked,external_acquisition_required,start of shot species and charge state source missing,none,n/a,pf1000_generic,false,compose from fill state Bennett and molecular data after acquisition,STARTUP-BVP-CH09,species_charge_state,false,false,8e6b5e9
STARTUP-BVP-CH10,candidate_or_blocked,external_acquisition_required,D2 molecular ionization and recombination still missing,KnowledgeReference/an-empirical-formula-for-the-electron-impact-ionization-cross-section-b5fde85c.md;KnowledgeReference/2019nrlplasma-formulary-037290d4.md;Voronov 1997;Janev Smith 1993;Open ADAS,Lotz full;NRL 4589-4630;external full,generic_formulary,false,acquire molecular D2 rates and keep atomic support separate,STARTUP-BVP-CH10,d2_ionization_recombination,false,false,8e6b5e9
STARTUP-BVP-CH11,candidate_or_blocked,external_acquisition_required,initial electron and ion temperature source missing,none,n/a,absent,false,keep runtime gate fail closed for same scope Te Ti,STARTUP-BVP-CH11,initial_te_ti,false,false,8e6b5e9
STARTUP-BVP-CH12,candidate_or_blocked,existing_kr_target_extraction_pending,UCSD Beg current sheath wrong scope method context,KnowledgeReference/effect-of-current-sheath-initiation-on-the-radial-collapse-and-energetic-particle-accelera-b2e95b88.md,597-601;631-660;642-660,wrong_scope_method_context,false,target extract with wrong scope caveat,STARTUP-BVP-CH12,ucsd_beg_massf_liftoff,false,false,8e6b5e9
STARTUP-BVP-CH13,candidate_or_blocked,external_acquisition_required,numerical handoff definition missing,none,n/a,absent,false,spec by V and V team and keep literature blocked,STARTUP-BVP-CH13,startup_to_3d_handoff,false,false,8e6b5e9
CLOSURE-BLK-BRAG-001,eqs_render_verified_z1_transport_wired_as_candidate,equations_4_30_to_4_45_render_verified_z1_transport_wired_as_candidate_acceptance_blocked,Braginskii 1965 Table 2 Z=1 coefficients and Eqs 4.30-4.45 render verified; Z=1 parallel transport wired as a candidate closure; five review-required Table-2 cells remain blocked,archive_reference_OLD/references/papers/mhd-numerics/braginskii_1965.pdf;docs/extractions/BRAGINSKII_1965_TABLE_2_TARGET_EXTRACTION_2026_05_20.md,Table 2 journal p251 PDF p26;Eqs 4.30-4.45 journal pp249-253 PDF pp25-28,generic_formulary,false,run numerical-fidelity same-scope comparator and certificate gates for the Z=1 transport candidate; second-reader confirm the five review-required Table-2 cells; keep accepted_runtime_claim false,CLOSURE-BLK-BRAG-001,braginskii_1965_transport,false,false,bd5be3a
CLOSURE-BLK-D2-EN-001,blocked_external,external_acquisition_required,D2 electron neutral momentum transfer cross sections missing,Itikawa Mason 2005 JPCRD 34:1 DOI 10.1063/1.1799251;LXCat Biagi BSR,full source,external_candidate,false,acquire Itikawa Mason or LXCat dataset,CLOSURE-BLK-D2-EN-001,d2_electron_neutral,false,false,8e6b5e9
CLOSURE-BLK-ION-001,blocked_external,external_acquisition_required,D2 molecular ionization recombination missing,Voronov 1997;Janev Smith 1993;Janev 1987;Open ADAS,full source,external_candidate,false,acquire molecular rates,CLOSURE-BLK-ION-001,d2_molecular_rates,false,false,8e6b5e9
CLOSURE-BLK-ANOM-001,partial_kr_qualitative,existing_kr_source_supported,qualitative DPF lower hybrid anomalous resistivity is supported while quantitative eta remains external,KnowledgeReference/comparisons-of-dense-plasma-focus-kinetic-simulations-with-experimental-measurements.md;Davidson Gladd 1975;Bruzzone 2001,46-49;156-171;185-190,pf1000_generic,false,acquire quantitative anomalous resistivity sources before closure acceptance,CLOSURE-BLK-ANOM-001,qualitative_lhdi_anomalous_resistivity,false,false,8e6b5e9
CLOSURE-BLK-REST-001,blocked_no_equation,absent_from_literature,no governing DPF restrike equation found; Barbaglia 2010 only proxy,Barbaglia et al 2010 Plasma Phys Control Fusion 52:032001,full source,external_candidate,false,document proxy status and keep restrike equation absent,CLOSURE-BLK-REST-001,restrike_proxy,false,false,8e6b5e9
NEUTRON-BLK-001,blocked_composite,existing_kr_target_extraction_pending,PF1000 full energy Gribkov Scholz Part II plus Bernard historical and Talebitaher NX2 child context,KnowledgeReference/scholz-2007-pf1000-part2-jphysd.md;KnowledgeReference/the-dense-plasma-focus-a-high-intensity-neutron-source-f0a3910d.md,318-323;445-460;1138-1168;1185-1193,pf1000_full_energy,false,target extract Gribkov Scholz Part II with full energy scope and keep child contexts wrong scope,NEUTRON-BLK-001,gribkov_scholz_fast_ion_distribution,false,false,8e6b5e9
NEUTRON-BLK-002,blocked_external,external_acquisition_required,deuteron stopping power missing,ICRU Report 49 1993;Andersen Ziegler 1977;SRIM 2013,full tables,external_candidate,false,acquire ICRU or equivalent stopping tables,NEUTRON-BLK-002,deuteron_stopping,false,false,8e6b5e9
NEUTRON-BLK-003,dependency_blocked,dependency_blocked,beam target yield requires fast ion distribution and deuteron stopping; Bosch Hale sigma already KR,KnowledgeReference/bosch-hale-1992-fusion-reactivity.md;NEUTRON-BLK-001;NEUTRON-BLK-002,full source,pf1000_full_energy,false,resolve after NEUTRON-BLK-001 and NEUTRON-BLK-002,NEUTRON-BLK-003,beam_target_yield,false,false,8e6b5e9
NEUTRON-BLK-004,blocked_external,external_acquisition_required,Brysk Doppler broadening missing,Brysk 1973 Plasma Phys 15:1282,derivation,external_candidate,false,acquire Brysk 1973,NEUTRON-BLK-004,brysk_doppler,false,false,8e6b5e9
NEUTRON-BLK-005,blocked_external,external_acquisition_required,Akel 16 kV same scope anisotropy missing,external Akel PF1000 16kV anisotropy search,n/a,pf1000_akel_16kv,false,targeted search or keep same scope gap explicit,NEUTRON-BLK-005,akel_16kv_anisotropy,false,false,8e6b5e9
THERMONUCLEAR-PAIR-PREFACTOR,blocked_prefactor_source,existing_kr_target_extraction_pending,Bernard 1977 may carry prefactor; Glasstone Lovberg external if not,KnowledgeReference/the-dense-plasma-focus-a-high-intensity-neutron-source-f0a3910d.md;Glasstone Lovberg 1960,review pending;chapter 1,historical_mather_wrong_scope,false,target extract Bernard for prefactor or acquire Glasstone Lovberg,THERMONUCLEAR-PAIR-PREFACTOR,thermonuclear_pair_counting,false,false,8e6b5e9
SAME-SCOPE-COMPARATOR-DECISION,scope_decision_pending,scope_governance_decision_pending,control-plane scope governance decision recorded in an in-repo decision memo; this is a project governance artifact and not a KR scientific source,docs/FIRST_PRINCIPLES_SCOPE_DECISION_MEMO_2026_05_20.md,full memo,pf1000_akel_16kv,false,lock or replace comparator scope before engineering facing claim; keep out of KR scientific source-supported counts; same-scope comparator evidence remains blocked until selected scope has source packets for the required observables,SAME-SCOPE-COMPARATOR-DECISION,scope_decision_memo,false,false,35bb1a9
